"vsn","description","address","latitude","longitude"
"004","AoT Chicago (S) [C]","State St & Jackson Blvd Chicago IL",-87.627678,41.878377
"006","AoT Chicago (S)","18th St & Lake Shore Dr Chicago IL",-87.616055,41.858136
"00A","AoT Chicago (S) [CA]","Lake Shore Drive & Fullerton Ave Chicago IL",-87.6307578,41.9262614
"00D","AoT Chicago (S)","Cornell & 47th St Chicago IL",-87.590228,41.810342
"010","AoT Chicago (S) [C]","Homan Ave & Roosevelt Rd Chicago IL",-87.710543,41.866349
"014","AoT Chicago (T)","State St & Washington St Chicago IL",-87.6277685,41.8832053
"018","AoT Chicago (S) [C]","Stony Island Ave & 63rd St Chicago IL",-87.586456,41.7806
"01C","AoT Chicago (S) [C] {ComEd}","7801 S Lawndale Ave Chicago IL",-87.71299,41.751238
"01D","AoT Chicago (S)","Damen Ave & Cermak Chicago IL",-87.675825,41.852179
"01F","AoT Chicago (S) [C]","State St & 87th Chicago IL",-87.624179,41.736314
"020","AoT Chicago (S) [C]","Western Ave & 69th St Chicago IL",-87.683396,41.768319
"025","AoT Chicago (S)","Western Ave & 18th St Chicago IL",-87.685806,41.857797
"028","AoT Chicago (T)","Western Blvd & 35th St Chicago IL",-87.684862,41.8303847
"02A","AoT Chicago (S) [C]","Jeffrey Ave & 95th St Chicago IL",-87.57535,41.722457
"02C","AoT Chicago (S) [C]","Martin Luther King Dr & 87th St Chicago IL",-87.614529,41.736495
"02D","AoT Chicago (S) [C]","Damen Ave & Wilson Ave Chicago IL",-87.679076,41.965089
"02F","AoT Chicago (S) [C]","Sheridan Rd & Granville Ave Chicago IL",-87.655523,41.994597
"030","AoT Chicago (S) [C]","Halsted St & 34th St Chicago IL",-87.646133,41.832579
"032","AoT Chicago (S) [C]","Wood St & Warren Blv Chicago IL",-87.671773,41.882304
"034","AoT Chicago (S)","Milwaukee Ave & Wabansia Ave Chicago IL",-87.681052,41.912681
"037","AoT Chicago (S)","Martin Luther King Dr & 83rd St Chicago IL",-87.614732,41.743814
"038","AoT Chicago (S)","Damen Ave & Archer Chicago IL",-87.675311,41.831827
"039","AoT Chicago (S)","Campbell Ave & Addison St Chicago IL",-87.69068,41.94672
"03C","AoT Chicago (S)","Kedzie Ave & 5th Ave Chicago IL",-87.706042,41.878372
"03D","AoT Chicago (S)","Halsted St & Randolph St Chicago IL",-87.647431,41.88431
"03E","AoT Chicago (S)","606 Path & Milwaukee Ave Chicago IL",-87.683048,41.914202
"03F","AoT Chicago (S)","Pulaski Rd & Madison St Chicago IL",-87.72566,41.880732
"040","AoT Chicago (S)","Lake Shore Drive & 85th St Chicago IL",-87.54045,41.741148
"041","AoT Chicago (S)","Western Ave & Madison St Chicago IL",-87.686359,41.881172
"048","AoT Chicago (S) [C]","Damen Ave & Webster Chicago IL",-87.677766,41.921405
"04C","AoT Chicago (S) [C]","Western Ave & 25th St Chicago IL",-87.685557,41.846579
"04D","AoT Chicago (S)","Leavitt St & Milwaukee Ave Chicago IL",-87.682414,41.913583
"04E","AoT Chicago (S)","Damen Ave & Chicago International Produce Market Chicago IL",-87.673061,41.846897
"04F","AoT Chicago (S)","Ashland Ave & 18th St Chicago IL",-87.666144,41.857775
"050","AoT Chicago (S)","Ashland Ave & Division St Chicago IL",-87.6674,41.903335
"051","AoT Chicago (S) [C]","Cottage Grove Ave & 79th St Chicago IL",-87.605288,41.751295
"052","AoT Chicago (S) [C]","Ashland & 63rd St Chicago IL",-87.664421,41.779369
