"value","uom","timestamp","sensor_path","node_vsn","latitude","longitude"
11,"C","2019-04-28T20:30:42","metsense.tsys01.temperature","02A",-87.57535,41.722457
35.902,"uW/cm^2","2019-04-28T20:30:42","metsense.tsl250rd.intensity","02A",-87.57535,41.722457
10.81,"C","2019-04-28T20:30:42","metsense.tmp112.temperature","02A",-87.57535,41.722457
68.76,"dB","2019-04-28T20:30:42","metsense.spv1840lr5h_b.intensity","02A",-87.57535,41.722457
-42.85,"C","2019-04-28T20:30:42","metsense.pr103j2.temperature","02A",-87.57535,41.722457
42.969,"mg","2019-04-28T20:30:42","metsense.mma8452q.acceleration_z","02A",-87.57535,41.722457
-979.492,"mg","2019-04-28T20:30:42","metsense.mma8452q.acceleration_y","02A",-87.57535,41.722457
-1.953,"mg","2019-04-28T20:30:42","metsense.mma8452q.acceleration_x","02A",-87.57535,41.722457
10.26,"C","2019-04-28T20:30:42","metsense.htu21d.temperature","02A",-87.57535,41.722457
-6,"RH","2019-04-28T20:30:42","metsense.htu21d.humidity","02A",-87.57535,41.722457
66.27,"RH","2019-04-28T20:30:42","metsense.hih4030.humidity","02A",-87.57535,41.722457
9.5,"C","2019-04-28T20:30:42","metsense.bmp180.temperature","02A",-87.57535,41.722457
986.56,"hPa","2019-04-28T20:30:42","metsense.bmp180.pressure","02A",-87.57535,41.722457
84.688,"uW/cm^2","2019-04-28T20:30:42","lightsense.tsl260rd.intensity","02A",-87.57535,41.722457
76.755,"uW/cm^2","2019-04-28T20:30:42","lightsense.tsl250rd.intensity","02A",-87.57535,41.722457
28.19,"C","2019-04-28T20:30:42","lightsense.tmp421.temperature","02A",-87.57535,41.722457
689.398,"uW/cm^2","2019-04-28T20:30:42","lightsense.mlx75305.intensity","02A",-87.57535,41.722457
53.925,"uW/cm^2","2019-04-28T20:30:42","lightsense.ml8511.intensity","02A",-87.57535,41.722457
19.388,"mG","2019-04-28T20:30:42","lightsense.hmc5883l.magnetic_field_z","02A",-87.57535,41.722457
-427.273,"mG","2019-04-28T20:30:42","lightsense.hmc5883l.magnetic_field_y","02A",-87.57535,41.722457
-378.182,"mG","2019-04-28T20:30:42","lightsense.hmc5883l.magnetic_field_x","02A",-87.57535,41.722457
37.24,"C","2019-04-28T20:30:42","lightsense.hih6130.temperature","02A",-87.57535,41.722457
21.85,"RH","2019-04-28T20:30:42","lightsense.hih6130.humidity","02A",-87.57535,41.722457
47.261,"lux","2019-04-28T20:30:42","lightsense.apds_9006_020.intensity","02A",-87.57535,41.722457
12.69,"C","2019-04-28T20:30:41","metsense.tsys01.temperature","071",-87.601646,41.794167
34.492,"uW/cm^2","2019-04-28T20:30:41","metsense.tsl250rd.intensity","071",-87.601646,41.794167
12.69,"C","2019-04-28T20:30:41","metsense.tmp112.temperature","071",-87.601646,41.794167
62.74,"dB","2019-04-28T20:30:41","metsense.spv1840lr5h_b.intensity","071",-87.601646,41.794167
12.75,"C","2019-04-28T20:30:41","metsense.pr103j2.temperature","071",-87.601646,41.794167
36.133,"mg","2019-04-28T20:30:41","metsense.mma8452q.acceleration_z","071",-87.601646,41.794167
-982.422,"mg","2019-04-28T20:30:41","metsense.mma8452q.acceleration_y","071",-87.601646,41.794167
-14.648,"mg","2019-04-28T20:30:41","metsense.mma8452q.acceleration_x","071",-87.601646,41.794167
0.82,"C","2019-04-28T20:30:41","metsense.htu21d.temperature","071",-87.601646,41.794167
118.99,"RH","2019-04-28T20:30:41","metsense.htu21d.humidity","071",-87.601646,41.794167
71.97,"RH","2019-04-28T20:30:41","metsense.hih4030.humidity","071",-87.601646,41.794167
36,"C","2019-04-28T20:30:41","metsense.bmp180.temperature","071",-87.601646,41.794167
1014.12,"hPa","2019-04-28T20:30:41","metsense.bmp180.pressure","071",-87.601646,41.794167
84.682,"uW/cm^2","2019-04-28T20:30:41","lightsense.tsl260rd.intensity","071",-87.601646,41.794167
23.357,"uW/cm^2","2019-04-28T20:30:41","lightsense.tsl250rd.intensity","071",-87.601646,41.794167
