"uom","path","min","max","data_sheet"
"counts","alphasense.opc_n2.bins",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
NA,"alphasense.opc_n2.fw",NA,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
"µg/m^3","alphasense.opc_n2.pm1",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
"µg/m^3","alphasense.opc_n2.pm10",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
"µg/m^3","alphasense.opc_n2.pm2_5",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
NA,"alphasense.opc_n2.sample_flow_rate",NA,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
NA,"alphasense.opc_n2.sampling_period",NA,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf"
"dB","audio.microphone.octave_10_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_1_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_2_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_3_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_4_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_5_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_6_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_7_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_8_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_9_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"dB","audio.microphone.octave_total_intensity",NA,140,"https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl"
"C","chemsense.at0.temperature",-40,125,"https://github.com/waggle-sensor/sensors"
"C","chemsense.at1.temperature",-40,125,"https://github.com/waggle-sensor/sensors"
"C","chemsense.at2.temperature",-40,125,"https://github.com/waggle-sensor/sensors"
"C","chemsense.at3.temperature",-40,125,"https://github.com/waggle-sensor/sensors"
"id","chemsense.chemsense.id",NA,NA,"https://github.com/waggle-sensor/sensors"
"ppm","chemsense.co.concentration",0,1000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/co.pdf"
"ppm","chemsense.h2s.concentration",0,50,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/h2s.pdf"
"hPa","chemsense.lps25h.pressure",260,1260,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/lps25h.pdf"
"C","chemsense.lps25h.temperature",-30,105,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/lps25h.pdf"
"ppm","chemsense.no2.concentration",0,20,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/no2.pdf"
"ppm","chemsense.o3.concentration",0,20,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/o3.pdf"
"ppm","chemsense.oxidizing_gases.concentration",0,100,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense"
"ppm","chemsense.reducing_gases.concentration",0,20,"https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense"
"RH","chemsense.sht25.humidity",0,100,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/sht25.pdf"
"C","chemsense.sht25.temperature",-40,125,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/sht25.pdf"
"uW/cm^2","chemsense.si1145.ir_intensity",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/si1145uv.pdf"
"uW/cm^2","chemsense.si1145.uv_intensity",NA,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/si1145uv.pdf"
"uW/cm^2","chemsense.si1145.visible_light_intensity",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/si1145uv.pdf"
"ppm","chemsense.so2.concentration",0,20,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/so2.pdf"
"lux","lightsense.apds_9006_020.intensity",0,1000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/apd9006020.pdf"
"RH","lightsense.hih6130.humidity",0,100,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih6130.pdf"
"C","lightsense.hih6130.temperature",-25,85,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih6130.pdf"
"mG","lightsense.hmc5883l.magnetic_field_x",-8000,8000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hmc5883l.pdf"
"mG","lightsense.hmc5883l.magnetic_field_y",-8000,8000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hmc5883l.pdf"
"mG","lightsense.hmc5883l.magnetic_field_z",-8000,8000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hmc5883l.pdf"
"uW/cm^2","lightsense.ml8511.intensity",0,15,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/ml8511.pdf"
"uW/cm^2","lightsense.mlx75305.intensity",0,160,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mlx75305c.pdf"
"C","lightsense.tmp421.temperature",-55,127,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tmp421.pdf"
"uW/cm^2","lightsense.tsl250rd.intensity",0,124,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsl250rd.pdf"
"uW/cm^2","lightsense.tsl260rd.intensity",0,132,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsl260rd.pdf"
"hPa","metsense.bmp180.pressure",300,1100,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/bmp180.pdf"
"C","metsense.bmp180.temperature",-40,85,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/bmp180.pdf"
"RH","metsense.hih4030.humidity",0,100,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih4030.pdf"
"RH","metsense.htu21d.humidity",0,100,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/htu21d.pdf"
"C","metsense.htu21d.temperature",-40,125,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/htu21d.pdf"
"id","metsense.metsense.id",NA,NA,"https://github.com/waggle-sensor/sensors"
"mg","metsense.mma8452q.acceleration_x",-8000,8000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mma8452q.pdf"
"mg","metsense.mma8452q.acceleration_y",-8000,8000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mma8452q.pdf"
"mg","metsense.mma8452q.acceleration_z",-8000,8000,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mma8452q.pdf"
"C","metsense.pr103j2.temperature",-55,80,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pr103j2.pdf"
"dB","metsense.spv1840lr5h_b.intensity",0,121,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/spv1840lr5h-b.pdf"
"C","metsense.tmp112.temperature",-40,125,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tmp112.pdf"
"uW/cm^2","metsense.tsl250rd.intensity",0,124,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsl250rd.pdf"
"C","metsense.tsys01.temperature",-40,125,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsys01.pdf"
"µg/m^3","plantower.pms7003.10um_particle",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.1um_particle",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.2_5um_particle",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.5um_particle",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.pm10_atm",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.pm1_atm",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.pm25_atm",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.point_3um_particle",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
"µg/m^3","plantower.pms7003.point_5um_particle",0,NA,"https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pms7003.pdf"
