,data_sheet,max,min,path,uom
0,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,0.0,alphasense.opc_n2.bins,counts
1,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,,alphasense.opc_n2.fw,
2,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,0.0,alphasense.opc_n2.pm1,μg/m^3
3,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,0.0,alphasense.opc_n2.pm10,μg/m^3
4,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,0.0,alphasense.opc_n2.pm2_5,μg/m^3
5,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,,alphasense.opc_n2.sample_flow_rate,
6,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/opcn2.pdf,,,alphasense.opc_n2.sampling_period,
7,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_10_intensity,dB
8,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_1_intensity,dB
9,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_2_intensity,dB
10,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_3_intensity,dB
11,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_4_intensity,dB
12,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_5_intensity,dB
13,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_6_intensity,dB
14,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_7_intensity,dB
15,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_8_intensity,dB
16,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_9_intensity,dB
17,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl,140.0,,audio.microphone.octave_total_intensity,dB
18,https://github.com/waggle-sensor/sensors,125.0,-40.0,chemsense.at0.temperature,C
19,https://github.com/waggle-sensor/sensors,125.0,-40.0,chemsense.at1.temperature,C
20,https://github.com/waggle-sensor/sensors,125.0,-40.0,chemsense.at2.temperature,C
21,https://github.com/waggle-sensor/sensors,125.0,-40.0,chemsense.at3.temperature,C
22,https://github.com/waggle-sensor/sensors,,,chemsense.chemsense.id,id
23,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/co.pdf,1000.0,0.0,chemsense.co.concentration,ppm
24,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/h2s.pdf,50.0,0.0,chemsense.h2s.concentration,ppm
25,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/lps25h.pdf,1260.0,260.0,chemsense.lps25h.pressure,hPa
26,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/lps25h.pdf,105.0,-30.0,chemsense.lps25h.temperature,C
27,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/no2.pdf,20.0,0.0,chemsense.no2.concentration,ppm
28,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/o3.pdf,20.0,0.0,chemsense.o3.concentration,ppm
29,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense,100.0,0.0,chemsense.oxidizing_gases.concentration,ppm
30,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense,20.0,0.0,chemsense.reducing_gases.concentration,ppm
31,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/sht25.pdf,100.0,0.0,chemsense.sht25.humidity,RH
32,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/sht25.pdf,125.0,-40.0,chemsense.sht25.temperature,C
33,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/si1145uv.pdf,,0.0,chemsense.si1145.ir_intensity,uW/cm^2
34,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/si1145uv.pdf,,,chemsense.si1145.uv_intensity,uW/cm^2
35,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/si1145uv.pdf,,0.0,chemsense.si1145.visible_light_intensity,uW/cm^2
36,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/so2.pdf,20.0,0.0,chemsense.so2.concentration,ppm
37,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/apd9006020.pdf,1000.0,0.0,lightsense.apds_9006_020.intensity,lux
38,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih6130.pdf,100.0,0.0,lightsense.hih6130.humidity,RH
39,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih6130.pdf,85.0,-25.0,lightsense.hih6130.temperature,C
40,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hmc5883l.pdf,8000.0,-8000.0,lightsense.hmc5883l.magnetic_field_x,mG
41,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hmc5883l.pdf,8000.0,-8000.0,lightsense.hmc5883l.magnetic_field_y,mG
42,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hmc5883l.pdf,8000.0,-8000.0,lightsense.hmc5883l.magnetic_field_z,mG
43,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/ml8511.pdf,15.0,0.0,lightsense.ml8511.intensity,uW/cm^2
44,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mlx75305c.pdf,160.0,0.0,lightsense.mlx75305.intensity,uW/cm^2
45,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tmp421.pdf,127.0,-55.0,lightsense.tmp421.temperature,C
46,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsl250rd.pdf,124.0,0.0,lightsense.tsl250rd.intensity,uW/cm^2
47,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsl260rd.pdf,132.0,0.0,lightsense.tsl260rd.intensity,uW/cm^2
48,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/bmp180.pdf,1100.0,300.0,metsense.bmp180.pressure,hPa
49,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/bmp180.pdf,85.0,-40.0,metsense.bmp180.temperature,C
50,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/hih4030.pdf,100.0,0.0,metsense.hih4030.humidity,RH
51,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/htu21d.pdf,100.0,0.0,metsense.htu21d.humidity,RH
52,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/htu21d.pdf,125.0,-40.0,metsense.htu21d.temperature,C
53,https://github.com/waggle-sensor/sensors,,,metsense.metsense.id,id
54,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mma8452q.pdf,8000.0,-8000.0,metsense.mma8452q.acceleration_x,mg
55,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mma8452q.pdf,8000.0,-8000.0,metsense.mma8452q.acceleration_y,mg
56,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/mma8452q.pdf,8000.0,-8000.0,metsense.mma8452q.acceleration_z,mg
57,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/pr103j2.pdf,80.0,-55.0,metsense.pr103j2.temperature,C
58,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/spv1840lr5h-b.pdf,121.0,0.0,metsense.spv1840lr5h_b.intensity,dB
59,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tmp112.pdf,125.0,-40.0,metsense.tmp112.temperature,C
60,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsl250rd.pdf,124.0,0.0,metsense.tsl250rd.intensity,uW/cm^2
61,https://github.com/waggle-sensor/sensors/raw/master/sensors/datasheets/tsys01.pdf,125.0,-40.0,metsense.tsys01.temperature,C
